antecedents,consequents,representativity,zhangs_metric,jaccard,certainty,kulczynski,zhang metric2
frozenset({'SET/10 BLUE POLKADOT PARTY CANDLES'}),frozenset({'SET/10 PINK POLKADOT PARTY CANDLES'}),1.0,0.9938229141806237,0.59375,0.8615188024826579,0.7594043887147335,0.6511253575666155
"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),1.0,0.963325642997522,0.2781065088757397,0.8021012189916046,0.5539065910082933,0.2865588938030604
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER MINT'}),1.0,0.998906429632953,0.883720930232558,0.9740718714325752,0.9395604395604396,0.903772483953624
frozenset({'HERB MARKER MINT'}),frozenset({'HERB MARKER ROSEMARY'}),1.0,0.9997053417334325,0.883720930232558,0.903772483953624,0.9395604395604396,0.903772483953624
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),1.0,0.9934396474903918,0.6124999999999999,0.8132697815968493,0.7634057971014492,0.705486126478684
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9949011077950326,0.6708860759493671,0.8383288152353673,0.8046928916494134,0.5446499727360428
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.992875589990204,0.6081081081081083,0.8981471535982815,0.7760869565217392,0.6475275586892635
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",1.0,0.992832148465754,0.5694444444444444,0.8169597855227881,0.7353968253968254,0.646128858525332
"frozenset({""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9920775586353944,0.5714285714285715,0.9751578423410443,0.7776599505125487,0.5751174252958808
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",1.0,0.9930963180362862,0.5882352941176472,0.8870122132856718,0.761904761904762,0.6305373447849436
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9956585626502806,0.634920634920635,0.7971657754010696,0.7773584905660378,0.7514404246417212
frozenset({'COFFEE MUG DOG + BALL DESIGN'}),frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),1.0,0.9953392401990533,0.6875,0.9153272613626217,0.825,0.7299154428126391
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),1.0,0.9679507387092028,0.31677018633540377,0.8292687318263249,0.5869069590706764,0.3269237594315851
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9952905333906996,0.6666666666666667,0.8494303521098805,0.8029751062537948,0.7505469596061014
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9935490204327767,0.603174603174603,0.9491827438370846,0.7864754098360655,0.618932176663041
"frozenset({'SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),1.0,0.9634936018990631,0.23899371069182387,0.8188763937635793,0.5388712928304059,0.24246858855738007
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9903872050384304,0.5963302752293578,0.807735198702352,0.7519946808510638,0.6848422162499785
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9838352827116453,0.4215686274509804,0.83915101590785,0.6502920317062996,0.45005231017660374
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9868129515654268,0.5,0.8901343992584868,0.712386018237082,0.5249005061518228
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1.0,0.9729133226324237,0.32352941176470584,0.7931842966194111,0.5760000000000001,0.3424654895666131
frozenset({'COFFEE MUG PEARS  DESIGN'}),frozenset({'COFFEE MUG APPLES DESIGN'}),1.0,0.9938202247191011,0.6578947368421053,0.9073567485711493,0.8066581306017926,0.6998733976895078
frozenset({'CHILDRENS CUTLERY POLKADOT BLUE'}),frozenset({'CHILDRENS CUTLERY POLKADOT PINK'}),1.0,0.989383547578956,0.48750000000000016,0.8264936787754378,0.68572695035461,0.5359160882719345
"frozenset({""ROLL WRAP 50'S RED CHRISTMAS""})","frozenset({""ROLL WRAP 50'S CHRISTMAS""})",1.0,0.988946940228307,0.5000000000000001,0.8913541630861949,0.7126312954484245,0.5257692593618848
frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),1.0,0.987077760145092,0.44594594594594605,0.9148019749973738,0.6907276995305165,0.45878262091250754
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9824450292136837,0.39325842696629215,0.8498159736421786,0.6376726417866588,0.41428404846360156
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),1.0,0.9954943679599499,0.6666666666666667,0.8306182121971596,0.8012820512820513,0.7657648984307308
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9917565150123291,0.6190476190476191,0.8349445405515417,0.7707061900610288,0.696909983522177
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9848458355190302,0.46739130434782605,0.822378507288346,0.6724976830398517,0.5102213364737145
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9898587494638585,0.5657894736842106,0.9545180511742026,0.7683183183183184,0.5751881922560259
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),1.0,0.996954273629676,0.7400000000000001,0.8581656650117585,0.8506871035940804,0.8383479119158639
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9973276647433951,0.7400000000000001,0.838347911915864,0.8506871035940804,0.8383479119158639
"frozenset({'BLUE SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),1.0,0.9855118781293278,0.4242424242424242,0.872077677224736,0.6633064516129031,0.44506988044550283
"frozenset({'RED STRIPE CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),1.0,0.9898019623496691,0.5,0.8018316852338633,0.6870915032679739,0.5628285668262822
"frozenset({'RED SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),1.0,0.9847029435245036,0.42028985507246375,0.8010097201273673,0.6366487455197133,0.4605868606808161
"frozenset({'RED SPOT CERAMIC DRAWER KNOB', 'BLUE SPOT CERAMIC DRAWER KNOB'})",frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),1.0,0.985047974413646,0.41791044776119396,0.8194718520653642,0.6412729026036643,0.45215316858331284
"frozenset({'BLUE SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),1.0,0.9901992116757219,0.509090909090909,0.8726060833646262,0.7120098039215685,0.5436387828807884
"frozenset({'RED SPOT CERAMIC DRAWER KNOB', 'BLUE SPOT CERAMIC DRAWER KNOB'})",frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),1.0,0.9845948827292111,0.41176470588235287,0.8194037796113919,0.6375711574952561,0.4446557534906115
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9844916952705659,0.62406015037594,0.8311027098089091,0.7738927738927739,0.6984000915167263
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9712532931878057,0.40322580645161293,0.8716602827824278,0.6522717049032839,0.41506550990931873
"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG PINK VINTAGE PAISLEY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),1.0,0.925722804962462,0.13270142180094788,0.8951934711531034,0.5189205955334988,0.1246165314372545
"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE CHOCOLATE'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),1.0,0.9512042414877178,0.19444444444444445,0.8403059723448072,0.5249618487028559,0.19160948749392875
"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG DOLLY GIRL DESIGN'})",frozenset({'LUNCH BAG SPACEBOY DESIGN'}),1.0,0.9717236228786279,0.29896907216494845,0.7988863482384824,0.5638888888888889,0.31311094514978005
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),1.0,0.9911248131539612,0.5517241379310345,0.8390209181857725,0.728744939271255,0.6099229619408991
frozenset({'VINTAGE CREAM CAT FOOD CONTAINER'}),frozenset({'VINTAGE CREAM DOG FOOD CONTAINER'}),1.0,0.996080627099664,0.6818181818181819,0.8550600801068091,0.8131868131868132,0.7662158669997415
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9775757575757575,0.5158730158730159,0.8728990831416706,0.7169669669669669,0.5430976430976431
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9817803030303031,0.5309734513274337,0.8036483902640691,0.7084357084357085,0.595018365472911
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9745153113653491,0.4508196721311475,0.9129123347452187,0.6933760683760684,0.45810548824866837
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9803699509248772,0.5045871559633026,0.8403294602147373,0.7008547008547008,0.5446499727360428
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9707621774550906,0.36666666666666664,0.9332945542729334,0.6561192944171668,0.3650729556241367
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9770493804553501,0.4174757281553397,0.9116716162890037,0.6746185256823555,0.42437498343010155
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9690097341819542,0.3333333333333334,0.927089396530881,0.6360564500099384,0.3312853792075058
"frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9756928838951311,0.3883495145631068,0.9056492264905268,0.6565656565656566,0.3942193470283358
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})","frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",1.0,0.981055493063367,0.4444444444444445,0.8463653493130191,0.6664957703153038,0.47279782798234554
frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'REGENCY MILK JUG PINK'}),1.0,0.9962410973357952,0.7234042553191491,0.8930422274330528,0.842717258261934,0.7877255188236522
frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'REGENCY TEAPOT ROSES'}),1.0,0.9870906373148526,0.4852941176470588,0.8652941293255773,0.6961152882205515,0.5170474766887323
"frozenset({'REGENCY MILK JUG PINK', 'REGENCY TEAPOT ROSES'})",frozenset({'REGENCY SUGAR BOWL GREEN'}),1.0,0.9966169154228856,0.7142857142857142,0.8806823177701574,0.8359133126934984,0.7868028279654359
"frozenset({'REGENCY MILK JUG PINK', 'REGENCY SUGAR BOWL GREEN'})",frozenset({'REGENCY TEAPOT ROSES'}),1.0,0.9860447761194029,0.4477611940298507,0.8795571038675749,0.6792717086834734,0.46954513148543
"frozenset({'REGENCY TEAPOT ROSES', 'REGENCY SUGAR BOWL GREEN'})",frozenset({'REGENCY MILK JUG PINK'}),1.0,0.9946661693397986,0.6521739130434783,0.9076273782376365,0.8033826638477801,0.6939531413998595
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE ROSES'}),1.0,0.9955370489002776,0.7142857142857143,0.9196914700544464,0.8409610983981692,0.7574738415545591
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE GREEN'}),1.0,0.996818294804872,0.7499999999999999,0.9366124813153961,0.8634868421052632,0.7869618116880568
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE ROSES'}),1.0,0.9930057342693307,0.5918367346938775,0.9046336206896551,0.7683423913043479,0.6260253542132738
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN'})",frozenset({'REGENCY TEA PLATE ROSES'}),1.0,0.9928145624866935,0.5833333333333333,0.932183908045977,0.7710144927536231,0.604321907600596
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE ROSES'})",frozenset({'REGENCY TEA PLATE GREEN'}),1.0,0.9961425911146581,0.7179487179487178,0.9650275758981495,0.851179673321234,0.7339998039792217
"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEA PLATE ROSES'})",frozenset({'REGENCY TEA PLATE PINK'}),1.0,0.9981336319522209,0.7179487179487178,0.797613721103654,0.8374999999999999,0.797613721103654
frozenset({'REGENCY TEA PLATE PINK'}),"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEA PLATE ROSES'})",1.0,0.9970171513795676,0.7179487179487178,0.8733669279581933,0.8374999999999999,0.797613721103654
frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),1.0,0.988620920600035,0.4823529411764706,0.8163275167785234,0.6797368421052632,0.5333349703237031
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT'}),1.0,0.962090713902308,0.3191489361702127,0.7904630650496142,0.5734104046242775,0.33367307996611845
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9881238104778122,0.5826086956521739,0.8781817534363651,0.7568272095332671,0.6245688236039001
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9798802918313166,0.3513513513513513,0.8831037027924714,0.6271440823327615,0.3605219941643523
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9844581547591014,0.46788990825688076,0.942850699142986,0.7127882599580713,0.47365439521428465
